species,taxid,organism_name,nirK_present,pcuac_present,class,nirK_rep_accession,pcuac_rep_accession,species_resolved
ramlibacter paludis,2908000,Ramlibacter paludis,1,0,nirK_only,WP_430300415.1,NA,1
flavobacterium olei,1886782,Flavobacterium olei,1,0,nirK_only,WP_430408236.1,NA,1
winogradskyella ouciana,2608631,Winogradskyella ouciana,1,0,nirK_only,WP_430468600.1,NA,1
unclassified testudinibacter,2621886;3417757;3466587;3466588,unclassified Testudinibacter;Testudinibacter sp. TW-1;Testudinibacter sp. P17/SS/0325;Testudinibacter sp. P80/BLE/0925,1,0,nirK_only,WP_431051070.1,NA,1
psychroserpens mesophilus,325473,Psychroserpens mesophilus,1,0,nirK_only,WP_431135167.1,NA,1
dyella thailandensis,3422216,Dyella thailandensis,1,0,nirK_only,WP_431634912.1,NA,1
calidifontibacter indicus,419650,Calidifontibacter indicus,1,0,nirK_only,WP_431842093.1,NA,1
actinomadura formosensis,60706,Actinomadura formosensis,1,0,nirK_only,WP_433227166.1,NA,1
microtetraspora malaysiensis,161358,Microtetraspora malaysiensis,1,0,nirK_only,WP_433351835.1,NA,1
aestuariimicrobium soli,2035834,Aestuariimicrobium soli,1,0,nirK_only,WP_435146318.1,NA,1
cellulophaga fucicola,76595,Cellulophaga fucicola,1,0,nirK_only,WP_435313204.1,NA,1
variovorax frigidus,3443728,Variovorax frigidus,1,0,nirK_only,WP_435509320.1,NA,1
streptomyces coelicoflavus,285562,Streptomyces coelicoflavus,1,0,nirK_only,WP_435615744.1,NA,1
ferrigenium straubiae,2919506,Ferrigenium straubiae,1,0,nirK_only,WP_435628279.1,NA,1
unclassified cutibacterium,2649671;3446480;3446481,unclassified Cutibacterium;Cutibacterium sp. V947;Cutibacterium sp. V970,1,0,nirK_only,WP_435918212.1,NA,1
unclassified pseudorhodoferax,2638544;3240878;3342328,unclassified Pseudorhodoferax;Pseudorhodoferax sp. LjRoot208;Pseudorhodoferax sp. LjRoot39,1,0,nirK_only,WP_436194518.1,NA,1
